12;SpVg. Iseringhausen;TuS Belmicke-Benolpe;15:00;;*
Stahlhacke, Albert;;;;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
11;VfR Rüblinghausen II;SPIELFREI;;;
;Dienstag, 13.09.2011;;;;
20;TuS Belmicke-Benolpe;SC Drolshagen III;19:30;;
Hoehn, Ulrich Erwin;;;;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
;Sonntag, 18.09.2011;;;;
16;SV Hützemert II;SC Bleche/Germinghausen II;12:30;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
17;SG Kleusheim/Elben III;FC Möllmicke II;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
19;SV Dahl-Friedrichsthal II;VfR Rüblinghausen II;12:30;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
18;TuS Rhode II;SV Hillmicke II;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
21;FC Inter Olpe;SV Ottfingen III;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
15;SpVg. Iseringhausen;SPIELFREI;;;
;Sonntag, 25.09.2011;;;;
22;SV Ottfingen III;TuS Rhode II;11:30;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
28;FC Möllmicke II;FC Inter Olpe;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
24;SV Hillmicke II;TuS Belmicke-Benolpe;12:45;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
25;VfR Rüblinghausen II;SV Hützemert II;12:45;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
26;SC Bleche/Germinghausen II;SG Kleusheim/Elben III;12:45;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
27;SpVg. Iseringhausen;SV Dahl-Friedrichsthal II;15:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
23;SC Drolshagen III;SPIELFREI;;;
;Mittwoch, 28.09.2011;;;;
33;SV Dahl-Friedrichsthal II;SC Drolshagen III;19:00;;
Scholemann, Sebastian;;;;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
;Sonntag, 02.10.2011;;;;
30;SV Hützemert II;SG Kleusheim/Elben III;12:30;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
33;SV Dahl-Friedrichsthal II;SC Drolshagen III;12:30;28.09.2011 19:00;
31;VfR Rüblinghausen II;SpVg. Iseringhausen;12:45;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
32;TuS Rhode II;FC Möllmicke II;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
34;TuS Belmicke-Benolpe;SV Ottfingen III;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
35;FC Inter Olpe;SC Bleche/Germinghausen II;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
29;SV Hillmicke II;SPIELFREI;;;
;Sonntag, 09.10.2011;;;;
42;FC Möllmicke II;TuS Belmicke-Benolpe;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
38;SG Kleusheim/Elben III;FC Inter Olpe;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
37;SC Drolshagen III;VfR Rüblinghausen II;12:45;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
39;SV Hillmicke II;SV Dahl-Friedrichsthal II;12:45;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
40;SC Bleche/Germinghausen II;TuS Rhode II;12:45;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
41;SpVg. Iseringhausen;SV Hützemert II;15:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
36;SV Ottfingen III;SPIELFREI;;;
;Sonntag, 16.10.2011;;;;
44;SV Hützemert II;FC Inter Olpe;12:30;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
48;SV Dahl-Friedrichsthal II;SV Ottfingen III;12:30;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
45;VfR Rüblinghausen II;SV Hillmicke II;12:45;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
46;TuS Rhode II;SG Kleusheim/Elben III;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
47;SpVg. Iseringhausen;SC Drolshagen III;15:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
49;TuS Belmicke-Benolpe;SC Bleche/Germinghausen II;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
43;FC Möllmicke II;SPIELFREI;;;
;Sonntag, 23.10.2011;;;;
50;SV Ottfingen III;VfR Rüblinghausen II;11:30;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
52;SG Kleusheim/Elben III;TuS Belmicke-Benolpe;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
51;SC Drolshagen III;SV Hützemert II;12:45;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
53;SV Hillmicke II;SpVg. Iseringhausen;12:45;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
55;FC Möllmicke II;SV Dahl-Friedrichsthal II;13:00;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
56;FC Inter Olpe;TuS Rhode II;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
54;SC Bleche/Germinghausen II;SPIELFREI;;;
;Dienstag, 25.10.2011;;;;
59;SC Drolshagen III;SV Hillmicke II;19:00;30.10.2011 12:30;
;Sonntag, 30.10.2011;;;;
58;SV Hützemert II;TuS Rhode II;12:30;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
59;SC Drolshagen III;SV Hillmicke II;12:30;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
62;SV Dahl-Friedrichsthal II;SC Bleche/Germinghausen II;12:30;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
60;VfR Rüblinghausen II;FC Möllmicke II;12:45;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
61;SpVg. Iseringhausen;SV Ottfingen III;15:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
63;TuS Belmicke-Benolpe;FC Inter Olpe;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
57;SG Kleusheim/Elben III;SPIELFREI;;;
;Sonntag, 06.11.2011;;;;
65;SG Kleusheim/Elben III;SV Dahl-Friedrichsthal II;12:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
66;SV Hillmicke II;SV Hützemert II;12:15;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
67;SC Bleche/Germinghausen II;VfR Rüblinghausen II;12:15;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
69;FC Möllmicke II;SpVg. Iseringhausen;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
68;TuS Rhode II;TuS Belmicke-Benolpe;12:30;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
70;FC Inter Olpe;SPIELFREI;;;
;Dienstag, 08.11.2011;;;;
73;SC Drolshagen III;FC Möllmicke II;19:00;13.11.2011 12:30;
;Sonntag, 13.11.2011;;;;
72;SV Hützemert II;TuS Belmicke-Benolpe;12:00;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
74;SV Hillmicke II;SV Ottfingen III;12:15;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
75;VfR Rüblinghausen II;SG Kleusheim/Elben III;12:15;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
73;SC Drolshagen III;FC Möllmicke II;12:30;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
77;SV Dahl-Friedrichsthal II;FC Inter Olpe;12:30;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
76;SpVg. Iseringhausen;SC Bleche/Germinghausen II;14:30;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
71;TuS Rhode II;SPIELFREI;;;
;Samstag, 19.11.2011;;;;
64;SV Ottfingen III;SC Drolshagen III;17:00;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
;Sonntag, 27.11.2011;;;;
78;SV Hützemert II;SV Ottfingen III;12:00;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
79;SG Kleusheim/Elben III;SpVg. Iseringhausen;12:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
80;SC Bleche/Germinghausen II;SC Drolshagen III;12:15;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
82;FC Möllmicke II;SV Hillmicke II;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
81;TuS Rhode II;SV Dahl-Friedrichsthal II;12:30;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
84;FC Inter Olpe;VfR Rüblinghausen II;14:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
83;TuS Belmicke-Benolpe;SPIELFREI;;;
;Sonntag, 04.12.2011;;;;
86;SV Ottfingen III;FC Möllmicke II;11:00;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
91;SV Dahl-Friedrichsthal II;TuS Belmicke-Benolpe;12:00;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
87;SV Hillmicke II;SC Bleche/Germinghausen II;12:15;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
88;VfR Rüblinghausen II;TuS Rhode II;12:15;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
89;SC Drolshagen III;SG Kleusheim/Elben III;12:45;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
90;SpVg. Iseringhausen;FC Inter Olpe;14:30;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
85;SV Hützemert II;SPIELFREI;;;
;Sonntag, 18.03.2012;;;;
135;SG Kleusheim/Elben III;TuS Rhode II;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
;Sonntag, 25.03.2012;;;;
92;SV Ottfingen III;SC Bleche/Germinghausen II;11:30;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
96;FC Möllmicke II;SV Hützemert II;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
93;SC Drolshagen III;FC Inter Olpe;12:30;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
94;VfR Rüblinghausen II;TuS Belmicke-Benolpe;12:45;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
95;SV Hillmicke II;SG Kleusheim/Elben III;12:45;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
97;SpVg. Iseringhausen;TuS Rhode II;15:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
98;SV Dahl-Friedrichsthal II;SPIELFREI;;;
;Sonntag, 01.04.2012;;;;
100;SG Kleusheim/Elben III;SV Ottfingen III;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
101;SV Hützemert II;SV Dahl-Friedrichsthal II;12:30;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
102;SC Bleche/Germinghausen II;FC Möllmicke II;12:45;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
103;TuS Rhode II;SC Drolshagen III;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
104;FC Inter Olpe;SV Hillmicke II;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
105;TuS Belmicke-Benolpe;SpVg. Iseringhausen;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
99;VfR Rüblinghausen II;SPIELFREI;;;
;Dienstag, 03.04.2012;;;;
106;SC Bleche/Germinghausen II;SV Hützemert II;19:00;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
108;SV Hillmicke II;TuS Rhode II;19:00;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
109;SV Ottfingen III;FC Inter Olpe;19:00;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
110;FC Möllmicke II;SG Kleusheim/Elben III;19:00;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
111;VfR Rüblinghausen II;SV Dahl-Friedrichsthal II;19:00;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
107;SC Drolshagen III;TuS Belmicke-Benolpe;19:30;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
112;SpVg. Iseringhausen;SPIELFREI;;;
;Sonntag, 15.04.2012;;;;
114;SV Hützemert II;VfR Rüblinghausen II;12:30;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
115;SG Kleusheim/Elben III;SC Bleche/Germinghausen II;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
117;SV Dahl-Friedrichsthal II;SpVg. Iseringhausen;12:30;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
116;TuS Rhode II;SV Ottfingen III;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
118;TuS Belmicke-Benolpe;SV Hillmicke II;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
119;FC Inter Olpe;FC Möllmicke II;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
113;SC Drolshagen III;SPIELFREI;;;
;Sonntag, 22.04.2012;;;;
120;SV Ottfingen III;TuS Belmicke-Benolpe;11:30;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
125;FC Möllmicke II;TuS Rhode II;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
121;SG Kleusheim/Elben III;SV Hützemert II;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
122;SC Drolshagen III;SV Dahl-Friedrichsthal II;12:30;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
123;SC Bleche/Germinghausen II;FC Inter Olpe;12:45;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
126;SpVg. Iseringhausen;VfR Rüblinghausen II;15:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
124;SV Hillmicke II;SPIELFREI;;;
;Sonntag, 29.04.2012;;;;
128;SV Hützemert II;SpVg. Iseringhausen;12:30;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
130;SV Dahl-Friedrichsthal II;SV Hillmicke II;12:30;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
129;VfR Rüblinghausen II;SC Drolshagen III;12:45;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
131;TuS Rhode II;SC Bleche/Germinghausen II;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
132;FC Inter Olpe;SG Kleusheim/Elben III;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
133;TuS Belmicke-Benolpe;FC Möllmicke II;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
127;SV Ottfingen III;SPIELFREI;;;
;Sonntag, 06.05.2012;;;;
134;SV Ottfingen III;SV Dahl-Friedrichsthal II;11:30;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
136;SC Drolshagen III;SpVg. Iseringhausen;12:30;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
137;SC Bleche/Germinghausen II;TuS Belmicke-Benolpe;12:45;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
138;SV Hillmicke II;VfR Rüblinghausen II;12:45;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
140;FC Inter Olpe;SV Hützemert II;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
139;FC Möllmicke II;SPIELFREI;;;
;Sonntag, 13.05.2012;;;;
142;SV Hützemert II;SC Drolshagen III;12:30;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
146;SV Dahl-Friedrichsthal II;FC Möllmicke II;12:30;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
143;VfR Rüblinghausen II;SV Ottfingen III;12:45;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
145;TuS Rhode II;FC Inter Olpe;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
144;SpVg. Iseringhausen;SV Hillmicke II;15:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
147;TuS Belmicke-Benolpe;SG Kleusheim/Elben III;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
141;SC Bleche/Germinghausen II;SPIELFREI;;;
;Sonntag, 20.05.2012;;;;
148;SV Ottfingen III;SpVg. Iseringhausen;11:30;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
153;FC Möllmicke II;VfR Rüblinghausen II;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
150;SV Hillmicke II;SC Drolshagen III;12:45;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
151;SC Bleche/Germinghausen II;SV Dahl-Friedrichsthal II;12:45;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
152;TuS Rhode II;SV Hützemert II;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
154;FC Inter Olpe;TuS Belmicke-Benolpe;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
149;SG Kleusheim/Elben III;SPIELFREI;;;
;Dienstag, 22.05.2012;;;;
156;SV Hützemert II;SV Hillmicke II;19:00;;
Sportplatz Hützemert // Am Sportplatz // 57489 DROLSHAGEN;;;;;
157;TuS Belmicke-Benolpe;TuS Rhode II;19:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
159;SV Dahl-Friedrichsthal II;SG Kleusheim/Elben III;19:00;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
160;VfR Rüblinghausen II;SC Bleche/Germinghausen II;19:00;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
161;SpVg. Iseringhausen;FC Möllmicke II;19:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
155;SC Drolshagen III;SV Ottfingen III;19:30;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
158;FC Inter Olpe;SPIELFREI;;;
;Sonntag, 03.06.2012;;;;
162;SV Ottfingen III;SV Hillmicke II;11:30;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
165;FC Möllmicke II;SC Drolshagen III;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
163;SG Kleusheim/Elben III;VfR Rüblinghausen II;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
164;SC Bleche/Germinghausen II;SpVg. Iseringhausen;12:45;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
167;TuS Belmicke-Benolpe;SV Hützemert II;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
168;FC Inter Olpe;SV Dahl-Friedrichsthal II;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
166;TuS Rhode II;SPIELFREI;;;
;Sonntag, 10.06.2012;;;;
170;SV Ottfingen III;SV Hützemert II;11:30;;
Sportplatz Ottfingen // Thomasstraße // 57482 Wenden;;;;;
171;SC Drolshagen III;SC Bleche/Germinghausen II;12:30;;
Sportplatz Drolshagen // Am Buscheid // 57489 Drolshagen;;;;;
174;SV Dahl-Friedrichsthal II;TuS Rhode II;12:30;;
Sportplatz Dahl-Friedrichsthal // Raiffeisenstr. 23 // 57462 Olpe;;;;;
172;VfR Rüblinghausen II;FC Inter Olpe;12:45;;
Sportplatz Rüblinghausen // Im Wiesenkamp // 57462 OLPE;;;;;
173;SV Hillmicke II;FC Möllmicke II;12:45;;
Sportplatz Hillmicke // Am Fockenberg // 57482 Wenden;;;;;
175;SpVg. Iseringhausen;SG Kleusheim/Elben III;15:00;;
Sportplatz Inseringhausen // Zur Vogelstange // 57489 Drolshagen;;;;;
169;TuS Belmicke-Benolpe;SPIELFREI;;;
;Sonntag, 17.06.2012;;;;
179;FC Möllmicke II;SV Ottfingen III;12:15;;
Schulzentrum Wenden // Peter-Dassis-Ring 47 // 57482 Wenden;;;;;
176;SG Kleusheim/Elben III;SC Drolshagen III;12:30;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
178;SC Bleche/Germinghausen II;SV Hillmicke II;12:45;;
Sportplatz Bleche // In der Lumicke // 57489 DROLSHAGEN;;;;;
180;TuS Rhode II;VfR Rüblinghausen II;13:00;;
Sportplatz Rhode // Am Kreuzberg // 57462 Olpe;;;;;
181;FC Inter Olpe;SpVg. Iseringhausen;15:00;;
Sportplatz Altenkleusheim // Zum Alten Heck // 57462 Olpe;;;;;
182;TuS Belmicke-Benolpe;SV Dahl-Friedrichsthal II;15:00;;
Sportplatz Belmicke // Peter-Butz-Str. // 51702 Bergneustadt;;;;;
177;SV Hützemert II;SPIELFREI;;;
